timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1542908574.769,109.863,44.922,34.668,23.926,108.887,0
1542908574.773,127.930,43.457,31.250,35.645,74.219,0
1542908574.777,144.043,41.016,34.180,45.410,55.664,0
1542908574.781,164.551,46.875,35.156,66.406,66.895,0
1542908574.785,176.270,46.875,41.016,85.449,133.789,0
1542908574.789,187.500,45.410,51.270,102.539,98.145,0
1542908574.792,217.285,49.805,48.828,119.629,60.059,0
1542908574.796,232.910,51.270,46.875,136.230,81.543,0
1542908574.800,226.562,46.875,50.293,154.297,22.949,0
1542908574.804,243.652,46.875,48.828,162.109,18.066,0
1542908574.808,259.277,52.246,47.363,169.434,63.965,0
1542908574.812,253.418,51.270,44.922,180.664,-17.090,0
1542908574.816,255.859,50.293,50.293,182.129,-27.832,0
1542908574.820,260.742,49.805,57.617,179.199,9.277,0
1542908574.824,261.719,50.781,55.176,175.293,13.184,0
1542908574.828,257.324,49.805,48.828,168.945,34.668,0
1542908574.831,241.211,46.387,44.922,151.855,56.152,0
1542908574.835,220.703,47.852,41.504,136.230,38.574,0
1542908574.839,205.566,38.574,38.574,135.254,24.414,0
1542908574.843,201.660,33.691,37.598,115.723,6.348,0
1542908574.847,202.148,42.969,41.504,105.957,47.852,0
1542908574.851,180.176,48.828,44.922,98.633,92.773,0
1542908574.855,164.062,47.852,41.504,79.102,47.363,0
1542908574.859,157.227,45.410,40.527,80.566,-10.742,0
1542908574.863,148.926,47.852,44.922,83.984,-12.207,0
1542908574.867,153.320,47.852,45.410,70.312,20.020,0
1542908574.871,146.484,42.480,39.062,61.035,9.766,0
1542908574.874,145.508,41.016,38.574,56.152,76.172,0
1542908574.878,149.902,36.621,39.551,61.523,125.977,0
1542908574.882,141.113,31.738,37.598,47.852,77.637,0
1542908574.886,130.859,36.621,36.133,33.691,57.129,0
1542908574.890,119.141,38.574,38.574,42.480,54.199,0
1542908574.894,117.676,35.645,41.016,49.316,43.945,0
1542908574.898,115.723,33.691,37.109,48.340,40.527,0
1542908574.902,123.535,30.273,34.668,28.320,37.598,0
1542908574.906,131.348,33.691,35.156,28.320,54.688,0
1542908574.910,105.957,38.574,37.598,32.715,34.668,0
1542908574.914,96.680,36.133,37.598,28.809,26.855,0
1542908574.917,113.770,37.598,33.691,22.461,29.297,0
1542908574.921,115.234,38.574,35.156,17.578,31.738,0
1542908574.925,107.910,39.551,35.156,19.043,19.043,0
