timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1553634026.268,-70.801,40.527,38.086,-72.266,29.785,0
1553634026.272,-120.605,39.551,39.551,-121.582,66.406,0
1553634026.276,-149.902,40.527,34.668,-142.578,53.223,0
1553634026.280,-166.016,46.875,36.133,-143.066,40.527,0
1553634026.283,-194.336,52.246,38.574,-180.664,40.527,0
1553634026.287,-187.500,48.828,44.434,-215.820,31.738,0
1553634026.291,-178.711,46.387,48.340,-207.520,-23.438,0
1553634026.295,-187.500,47.852,51.758,-195.312,-17.578,0
1553634026.299,-169.922,39.062,52.734,-180.176,18.555,0
1553634026.303,-168.457,34.180,43.945,-169.434,8.789,0
1553634026.307,-162.109,40.039,38.086,-160.156,52.246,0
1553634026.311,-129.395,45.410,41.016,-130.859,43.945,0
1553634026.315,-118.164,50.781,38.086,-116.211,7.324,0
1553634026.319,-98.633,51.270,27.832,-87.891,72.266,0
1553634026.322,-79.590,50.781,20.020,-80.566,51.270,0
1553634026.326,-75.195,49.316,13.184,-65.430,42.480,0
1553634026.330,-59.082,53.223,5.371,-47.363,38.574,0
1553634026.334,-51.270,56.641,-1.953,-54.688,-0.977,0
1553634026.338,-34.668,51.270,-6.348,-35.156,-8.301,0
1553634026.342,-25.391,40.527,-8.789,-15.137,20.996,0
1553634026.346,-21.484,38.086,-7.324,-2.930,103.516,0
1553634026.350,-23.438,49.805,-9.766,-2.930,66.895,0
1553634026.354,-21.484,56.152,-13.184,-5.371,-1.953,0
1553634026.358,-5.371,47.852,-13.184,12.207,32.227,0
1553634026.362,4.395,36.621,-11.230,31.738,37.598,0
1553634026.365,8.301,41.992,-14.648,39.062,27.832,0
1553634026.369,24.414,50.781,-20.020,39.551,10.254,0
1553634026.373,27.344,54.688,-17.578,33.203,7.812,0
1553634026.377,17.090,56.641,-11.230,44.434,42.969,0
1553634026.381,33.203,48.828,-4.883,57.617,3.418,0
1553634026.385,46.387,47.852,-6.348,49.316,-14.648,0
1553634026.389,44.922,50.293,-10.254,53.223,20.996,0
1553634026.393,41.504,42.480,-4.883,77.637,40.527,0
1553634026.397,56.152,36.133,2.930,82.031,17.578,0
1553634026.401,53.223,32.715,4.883,62.988,-24.414,0
1553634026.405,47.852,38.574,2.930,63.477,15.137,0
1553634026.408,63.477,42.969,3.906,75.195,38.086,0
1553634026.412,45.410,38.574,4.395,78.125,17.578,0
1553634026.416,33.203,36.621,1.953,60.547,28.320,0
1553634026.420,58.105,41.992,0.977,59.082,93.262,0
1553634026.424,58.594,47.852,0.977,66.895,46.387,0
1553634026.428,58.594,46.387,7.324,61.035,33.691,0
1553634026.432,71.777,49.316,7.324,59.570,80.078,0
1553634026.436,73.242,50.293,2.930,66.895,85.938,0
1553634026.440,47.852,45.898,6.348,55.176,36.621,0
1553634026.444,43.945,42.480,6.836,52.246,-0.977,0
1553634026.447,71.777,44.434,10.254,70.312,16.602,0
1553634026.451,75.195,48.828,8.301,72.266,28.320,0
1553634026.455,62.012,42.480,10.254,59.570,49.316,0
1553634026.459,60.059,41.016,16.602,66.406,90.332,0
1553634026.463,60.059,45.410,18.555,82.031,91.797,0
1553634026.467,57.129,43.457,16.602,72.754,12.695,0
1553634026.471,68.848,41.992,15.137,78.613,-14.648,0
1553634026.475,70.801,40.527,19.531,76.172,47.363,0
1553634026.479,64.453,36.621,20.996,59.082,68.848,0
1553634026.483,71.289,37.598,20.996,65.918,71.289,0
1553634026.487,62.012,35.645,24.902,75.195,69.336,0
1553634026.490,51.758,34.180,25.879,80.566,45.898,0
1553634026.494,60.059,27.832,28.809,79.590,23.438,0
1553634026.498,52.734,23.438,32.227,69.824,3.906,0
1553634026.502,58.594,36.133,26.855,61.035,31.250,0
1553634026.506,67.871,48.340,20.508,55.664,3.418,0
1553634026.510,65.430,49.316,14.648,45.410,41.016,0
1553634026.514,61.035,44.922,13.672,62.500,51.270,0
1553634026.518,50.781,41.992,25.391,75.684,12.695,0
1553634026.522,47.852,39.551,33.203,61.035,55.664,0
1553634026.526,43.945,36.133,33.203,39.062,67.383,0
1553634026.530,49.805,33.691,33.203,43.945,78.613,0
1553634026.533,47.363,26.367,31.250,59.570,62.012,0
1553634026.537,23.926,22.461,31.250,53.711,72.266,0
1553634026.541,17.578,27.832,29.785,46.387,17.090,0
1553634026.545,33.691,32.715,29.297,48.828,7.324,0
1553634026.549,30.762,32.715,30.273,54.199,16.113,0
1553634026.553,19.531,29.297,32.227,52.734,-10.254,0
1553634026.557,19.531,31.738,31.250,57.129,71.289,0
1553634026.561,36.621,32.715,16.113,71.777,76.172,0
1553634026.565,27.344,27.344,13.672,55.176,28.320,0
1553634026.569,19.531,30.762,36.133,43.457,63.477,0
1553634026.572,26.367,34.668,43.457,56.152,17.090,0
1553634026.576,29.297,38.086,32.715,49.805,10.254,0
1553634026.580,26.855,38.574,31.250,54.199,7.324,0
1553634026.584,28.809,34.668,33.203,55.664,24.414,0
1553634026.588,41.504,32.227,27.344,66.406,38.574,0
1553634026.592,27.832,30.762,23.438,68.359,3.418,0
1553634026.596,18.066,28.809,29.785,63.477,29.785,0
1553634026.600,34.180,31.250,29.297,74.707,8.789,0
1553634026.604,36.621,35.156,22.949,56.152,25.879,0
1553634026.608,29.785,33.691,29.297,44.922,30.762,0
1553634026.612,15.137,36.133,27.832,51.270,-6.348,0
1553634026.615,5.859,39.551,15.625,56.152,2.930,0
1553634026.619,10.742,36.133,28.809,52.734,26.367,0
1553634026.623,7.812,30.273,39.062,57.617,7.324,0
1553634026.627,18.066,26.367,41.504,63.965,48.340,0
1553634026.631,27.344,28.809,37.598,55.664,62.012,0
1553634026.635,32.227,33.691,31.250,54.688,28.320,0
1553634026.639,33.203,29.785,29.297,57.617,-24.414,0
1553634026.643,31.250,28.320,23.926,51.758,24.414,0
1553634026.647,23.438,34.180,41.016,51.270,-25.391,0
1553634026.651,29.785,38.086,52.246,50.293,-52.246,0
1553634026.655,40.527,38.086,50.293,44.434,12.695,0
1553634026.658,26.855,34.668,51.270,51.758,-21.484,0
1553634026.662,27.344,33.203,35.645,45.898,-7.812,0
